login; location; place; followers; contributions; stars; user_stars; language
dottavio;Córdoba;Córdoba;1;50;7;5;JavaScript
amuniz;Sevilla (Spain);Sevilla;1;50;4;5;Java
afmorris;Seville, OH;Sevilla;2;49;0;0;C#
Adrirc8;Granada, Spain;Granada;1;49;1;3;HTML
fmsanjuan;Sevilla, Spain;Sevilla;1;49;0;16;Java
JacintoCC;Granada;Granada;12;49;0;0;C++
santidediego;Granada;Granada;4;48;0;0;TeX and C
toblerone554;Granada;Granada;6;48;1;0;CSS
segura2010;Granada;Granada;3;48;6;7;JavaScript
gilcu2;Malaga;Málaga;0;48;0;1;Scala
hamena;Cádiz, Spain;Cádiz;4;48;0;0;C++
crisstosso;Medina Sidonia, Cádiz;Cádiz;0;48;1;0;Shell
sidi-mohamed;sevilla;Sevilla;0;47;0;0;Python and Shell
ablanco;Sevilla;Sevilla;23;47;172;87;Python
nitehack;Spain, Granada;Granada;9;47;4;17;C
mwlmc;Granada, España;Granada;1;47;0;0;Shell
davidperezgar;Granada, Spain;Granada;1;47;1;61;Python
afloresjpg;Córdoba;Córdoba;0;47;0;0;CSS
j0sete;Málaga;Málaga;2;47;1;1;Java
aolivares;Granada, Spain;Granada;2;47;0;0;TeX and Matlab
jlbellido;Sevilla;Sevilla;16;46;3;0;PHP
JuanMNGA;Chiclana, Cádiz;Cádiz;8;46;1;4;Java
jfranguerrero;Granada (Spain);Granada;1;46;0;0;
juanmirod;Málaga;Málaga;7;46;1;40;CSS
brovador;Sevilla;Sevilla;6;46;22;287;Objective-C
makixun;Granada, Spain;Granada;10;45;0;1;C++
josecsh;Granada;Granada;1;45;0;1;Shell
IvanoAlvino;Granada, Spain;Granada;0;45;1;0;Java
PeRDy;Málaga;Málaga;4;45;0;0;Python
alextoni;Granada;Granada;3;44;0;0;
dandelea;Sevilla;Sevilla;1;44;0;1;Java and GLSL
Jesusmcs;Granada;Granada;2;44;0;0;JavaScript
ACruz91;Córdoba;Córdoba;3;44;0;0;HTML
emoronayuso;Sevilla;Sevilla;13;44;0;0;C
rjgarciam;San Sebastián/Seville, Spain;Sevilla;2;43;0;8;CSS
kartojal;Málaga, Spain;Málaga;0;43;0;1;Shell and ApacheConf
p4coperez;Sevilla;Sevilla;7;43;5;9;Gosu and Java
narudocap;Málaga (Spain);Málaga;0;43;0;0;Java
cyberguijarro;Cádiz, Spain;Cádiz;3;43;17;2;Python
pebosch;Granada, Spain;Granada;3;43;17;12;Java
pedroguirado;Granada, Spain;Granada;0;43;0;2;PHP and CSS
Gandio;Cádiz Spain;Cádiz;4;43;0;0;Java
avilin;Almería, España;Almería;3;42;0;0;C#
keidesu;Málaga, Spain;Málaga;4;42;2;0;Python
drmillan;Seville;Sevilla;10;42;9;29;Java
alfem;Seville;Sevilla;5;42;9;56;Python
pakitochus;Granada;Granada;1;42;0;8;Python and Matlab
RadW2020;Granada, Spain;Granada;1;42;0;13;Ruby
Marfru;Granada;Granada;1;42;0;0;CSS and JavaScript
carlosrdrz;Sevilla;Sevilla;3;42;3;65;Ruby
TommyHernandez;Granada;Granada;4;41;1;2;CSS
vengador;Jerez de la Frontera;Cádiz;23;41;1;5;JavaScript
CarlosML27;Mollina, Málaga, Spain;Málaga;5;41;0;0;Java
DrankoLQ;Córdoba, Spain;Córdoba;5;41;1;18;CSS
educorzo;Granada;Granada;2;41;0;0;Java
Sergio22;Sevilla;Sevilla;0;41;0;0;Python
jesmg;Almería, Spain;Almería;4;41;1;0;Arduino
AntonioPerezRivera;Jerez de la Frontera, Cádiz;Cádiz;1;41;0;0;Python and Java
emilioramirez;Córdoba;Córdoba;8;41;5;12;Python
jgallegoweb;Granada;Granada;5;41;0;0;PHP
Jamargle;Jaén;Jaén;1;40;0;0;JavaScript and CSS
lastko;Seville, Spain;Sevilla;2;40;1;5;Shell
jofera;Málaga;Málaga;4;40;1;14;Java
seravb;Granada, Melilla, Spain;Granada;9;40;1;4;JavaScript
elotrojj;Granada, Andalucía, Spain, Europe;Andalucía;1;40;0;0;
dariopalminio;Córdoba;Córdoba;1;40;3;3;TeX and Java
