login; location; place; followers; contributions; stars; user_stars; language
xthevenot;Barcelona;Barcelona;2;1;1;3;Ruby
Tweener;Barcelona;Barcelona;2;1;9;16;Java and Objective-C
procommerz;Barcelona, Spain;Barcelona;2;1;2;56;Ruby
davidgilmateu;Barcelona;Barcelona;0;1;0;0;
oroel;Barcelona;Barcelona;0;1;0;0;
sylvainlebarillec;Barcelona, Spain;Barcelona;0;1;0;0;R
gerardocdc;Barcelona;Barcelona;8;1;15;84;PHP
marccerrato;Barcelona;Barcelona;7;1;16;125;Python
fredpalas;Barcelona;Barcelona;0;1;0;0;ApacheConf
martinlaregina;Barcelona;Barcelona;0;1;0;0;CSS
vikgilmuc;Barcelona- Wien- München;Barcelona;1;1;1;3;CSS
iiioxoiii;Barcelona;Barcelona;1;1;0;2;Shell
ameithor;Barcelona;Barcelona;1;1;0;2;Java
klarakucerova;Barcelona;Barcelona;1;1;0;0;CSS
isimus;Barcelona, Spain;Barcelona;0;1;0;1;R
uavila;Barcelona, Spain;Barcelona;1;1;0;49;Go
rafa-aguilar;Barcelona;Barcelona;1;1;2;1;PHP and Shell
paumove;Barcelona;Barcelona;0;1;0;0;
Lawra;Barcelona;Barcelona;0;1;0;0;Java and JavaScript
soniacasillas;Bellaterra, Barcelona, Spain;Barcelona;1;1;0;0;Arduino and C++
Adnssa;Manresa, Barcelona, Catalonia, Spain;Barcelona;0;1;0;0;
MarcosHernando;Barcelona;Barcelona;0;1;0;0;
thierrylafaye;Barcelona (Spain);Barcelona;0;1;0;0;
paumiau;barcelona;Barcelona;1;1;0;0;PHP
ecesar;Barcelona;Barcelona;0;1;0;0;R
MireiaUB;Barcelona;Barcelona;1;1;0;2;CSS
Rukshin;Barcelona;Barcelona;1;1;0;7;JavaScript
xavimorera;Barcelona;Barcelona;0;1;0;0;
sergidt;Barcelona;Barcelona;1;1;2;6;HTML
dani-sanchez-dorado;Barcelona, Spain;Barcelona;0;1;0;1;
targetimc;Barcelona, Spain;Barcelona;0;1;0;1;PHP
x3no;Barcelona;Barcelona;1;1;0;4;
gerardreches;Manlleu, Barcelona, Spain;Barcelona;0;1;0;5;
SolrakUndel;Barcelona, Spain;Barcelona;2;1;0;1;C
scarbajo;Barcelona;Barcelona;0;1;0;0;
rub3nlh;Barcelona;Barcelona;2;1;0;2;PHP
leobcn;Barcelona;Barcelona;0;1;0;0;Go
vchoubard;Barcelona;Barcelona;1;1;0;1;Java
alextremp;Barcelona;Barcelona;0;1;0;5;Batchfile
acapdevila;Barcelona;Barcelona;0;1;1;1;ASP
bourb;Barcelona, Spain;Barcelona;0;1;0;2;Ruby
vagonas;Barcelona, Spain;Barcelona;0;1;0;0;
hvontrier;Barcelona-Spain;Barcelona;0;1;0;3;
ogonzalezadell;Barcelona, SPAIN;Barcelona;0;1;0;13;
PGRdesign;Barcelona;Barcelona;0;1;0;0;
carsato;Barcelona;Barcelona;7;1;3;19;PHP
adolfo-lopez-fezoo;Barcelona;Barcelona;0;1;0;0;Batchfile
zephir1;Barcelona;Barcelona;0;1;0;0;HTML and PHP
helektron;Barcelona;Barcelona;0;1;0;0;
valentinvoilean;Barcelona / Spain;Barcelona;3;1;1;0;JavaScript
javierkijano;Barcelona;Barcelona;0;1;0;0;
lezbar;Barcelona;Barcelona;4;1;0;6;Python
flapedriza;Barcelona;Barcelona;0;1;0;0;Java
elespawol;Catalonia;Catalunya;1;1;0;4;Java
mllinas;Llagostera, Catalunya, Europe;Catalunya;1;1;0;0;C
dvdgmz;Catalonia, Spain;Catalunya;0;1;0;0;
sitges;Sitges, Catalunya, Spain;Catalunya;0;1;0;0;
estevegrau;Matadepera (Catalunya);Catalunya;0;1;0;0;
JeanBanane;French Catalonia;Catalunya;0;1;0;4;
jqueralt;Sant Andreu del Palomar, Catalunya;Catalunya;1;1;4;4;CSS
tyl3r;Catalunya;Catalunya;4;1;0;116;
agomezalvic;Centelles, Catalonia, Spain;Catalunya;0;1;0;0;CSS and JavaScript
GVallicrosa;Girona, Catalunya;Catalunya;3;1;0;73;QMake
rossinimv;City Barcelona, BCN, Catalonia;Catalunya;0;1;0;0;
mtrullasp;Manresa, Catalonia;Catalunya;3;1;0;46;CSS
radioelf;Torroella de Montgri, Girona, Catalonia, Spain;Catalunya;0;1;0;0;
xoseperez;Barcelona;Barcelona;7;1;43;10;Python
ismael-benitez;Barcelona;Barcelona;4;1;0;12;ApacheConf
diegstroyer;Argentona (Barcelona);Barcelona;0;1;0;0;C
masapastosa;Barcelona;Barcelona;4;1;0;8;
jmartin82;Barcelona;Barcelona;15;1;52;92;PHP
meijers;Barcelona, Spain;Barcelona;0;1;0;0;
delhora;Barcelona;Barcelona;0;1;0;0;
idotj;Barcelona;Barcelona;0;1;0;1;
xmonfort;Sant Just Desvern, Barcelona (Catalonia);Barcelona;0;1;2;2;JavaScript and Ruby
bytedevil;Barcelona;Barcelona;0;1;1;1;C and Shell
pmanresa;Barcelona;Barcelona;0;1;0;0;Java
alf9;Barcelona, San Francisco;Barcelona;0;1;0;0;
ddgthub;Barcelona, Spain;Barcelona;0;1;0;0;R
evillaes;Barcelona;Barcelona;0;1;0;0;
mark-sp;Barcelona;Barcelona;0;1;0;0;CSS
stuarteaton;Barcelona;Barcelona;0;1;0;1;
soloaves;Barcelona;Barcelona;0;1;0;0;PHP
StickerZombie;Barcelona;Barcelona;0;1;0;0;
jordinl83;Barcelona;Barcelona;0;1;0;0;JavaScript
mikemaal;Barcelona;Barcelona;0;1;0;4;Java
marcomsousa;Barcelona;Barcelona;0;1;2;11;JavaScript
tgabaldon;Barcelona;Barcelona;0;1;0;0;
sp-alberto-fernandez;Barcelona;Barcelona;0;1;0;5;
rramos1980;Barcelona;Barcelona;14;1;1;4;PHP
xagaroo;Barcelona, ES;Barcelona;0;1;1;7;
francesctovar;Barcelona;Barcelona;1;1;3;2;Objective-C
sabatesduran;Barcelona;Barcelona;16;1;0;798;JavaScript
jordisansscmspain;Barcelona;Barcelona;2;1;0;2;
egcastro;Barcelona, Spain;Barcelona;20;1;0;8;JavaScript
programarivm;Barcelona;Barcelona;0;1;2;0;PHP
Dor3nz;Barcelona;Barcelona;19;1;2;82;Ruby
andressotov;Barcelona, Spain;Barcelona;0;1;0;0;
despinola;Barcelona;Barcelona;0;1;0;1;CoffeeScript
dtorguet;Cubelles, Barcelona;Barcelona;1;1;0;0;Assembly
joanmarcmas;Barcelona;Barcelona;0;1;0;0;
gusbueno;Barcelona;Barcelona;0;1;0;0;
yumartynova;Barcelona, Spain;Barcelona;0;1;0;0;
cmndude;Barcelona, Spain;Barcelona;0;1;0;4;JavaScript
albertoalcaraz;Barcelona;Barcelona;0;1;1;10;JavaScript
hstojic;Barcelona;Barcelona;1;1;0;63;R
crosasmendoza;Barcelona, Spain;Barcelona;0;1;0;0;CSS
Maberi;Barcelona, Spain;Barcelona;0;1;0;6;Python
alejobs;Barcelona, Spain;Barcelona;0;1;0;0;Java
eliasbaixas;barcelona;Barcelona;17;1;33;51;Ruby
jordiponsllaurado;Barcelona;Barcelona;1;1;0;0;Ruby
