login; location; place; followers; contributions; stars; user_stars; language
saleiva;Madrid and NYC;Madrid;74;512;98;66;JavaScript
nacx;Barcelona;Barcelona;34;512;20;34;Java
fsquillace;Valencia, Spain;Valencia;23;511;288;42;Shell
bloodbare;Manresa, Catalunya;Catalunya;11;511;7;14;JavaScript
ethervoid;Valladolid , Madrid, Spain;Madrid;16;510;9;118;Java
edugrasa;Barcelona;Barcelona;6;509;1;4;Shell
ragerri;Donostia-San Sebastian;Donostia;8;509;2;1;Java
danielo515;Madrid Spain;Madrid;10;508;14;46;JavaScript
ernestoalejo;Granada, Spain;Granada;12;507;74;156;JavaScript
irenesanznieto;Madrid;Madrid;7;506;4;3;C++
sergioalvz;Oviedo, Spain;Asturias;10;506;0;43;JavaScript
gonzaloruizdevilla;Madrid, Spain;Madrid;56;505;121;45;JavaScript
jcollado;Madrid (Spain);Madrid;10;504;10;10;JavaScript
duarten;Barcelona;Barcelona;27;503;17;40;Shell
mikz;Barcelona, Spain;Barcelona;29;502;154;475;Ruby
xerpi;Catalonia (Spain);Catalunya;45;500;158;74;C
xavier-fernandez;Barcelona, Spain;Barcelona;2;500;1;30;Java
JoseTomasTocino;Cádiz, Spain;Cádiz;25;499;30;34;JavaScript
cpalaciosc;España;España;0;499;0;0;Java
carmichaelalonso;Mallorca, Spain;Baleares;8;497;1;11;C#
xezpeleta;Basque Country;Euskadi;7;496;4;104;Shell
SametSisartenep;Alicante, Spain;Alicante;9;496;10;670;JavaScript
Juanlu001;Madrid, Spain;Madrid;72;496;13;152;Python
jgoizueta;Tudela (Navarra) - SPAIN;Navarra;5;496;78;122;Ruby
rauldiazpoblete;Cuenca, España;Cuenca;2;495;1;12;
kusor;Murcia (Spain);Murcia;47;495;71;50;JavaScript
pitbulk;Seville;Sevilla;33;494;34;113;PHP
jacalvo;Zaragoza, Spain;Zaragoza;7;492;1;11;Shell
salva;Madrid, Spain;Madrid;30;492;160;185;Perl
NeoRazorX;Spain;España;12;489;53;8;PHP
algui91;Granada, España;Granada;83;488;15;59;Python
jvican;Spain;España;5;486;5;132;Shell
jomargo;Valencia;Valencia;0;486;0;0;Ruby
manuelmorales;Spain;España;5;485;56;49;Ruby
lekum;Madrid, Spain;Madrid;12;485;8;16;Python
BrunoVilela;Goiânia, Brazil / Alcalá de Henares, Spain;España;10;485;5;1;R
jbatalle;Barcelona;Barcelona;2;484;0;33;JavaScript
lbergesio;Barcelona;Barcelona;1;484;1;1;C
numeroteca;madrid-boston;Madrid;23;481;50;12;CSS
albarralnunez;Barcelona;Barcelona;14;481;1;6;Python
makiolo;Spain;España;0;480;0;97;C++
aacuevas;Valencia, Spain;Valencia;1;479;0;3;C
PauCodina;Barcelona;Barcelona;1;477;0;78;CSS
jmeler;Barcelona;Barcelona;0;477;0;4;JavaScript
edlectrico;Bilbao (Spain);Bilbao;17;476;6;12;Java
wikiti;Spain;España;3;474;0;7;C
Virako;Sevilla;Sevilla;25;474;10;5;Python
renatolrr;Granada;Granada;21;474;9;34;CSS
sixstone-qq;Zaragoza;Zaragoza;5;474;0;10;Python
SMV818VMS;Barcelona, Spain;Barcelona;6;472;2;5;Python
Achifaifa;Vitoria, Spain;Álava;12;471;8;13;Python
nokutu;Spain;España;1;471;0;4;Java
ggdiez;Valladolid;Valladolid;8;471;0;4;
furilo;Madrid, Spain;Madrid;31;470;0;55;JavaScript
jkerihuel;Zaragoza;Zaragoza;9;470;2;14;Shell
bladecoder;Córdoba, Spain;Córdoba;5;469;40;0;Shell
iariasleon;Barcelona;Barcelona;0;468;0;0;Python and Cucumber
kaitokidi;Barcelona;Barcelona;13;468;8;13;C++
Joimer;Madrid, Spain;Madrid;10;468;16;7;JavaScript
Kra1o5;Spain;España;105;467;16;0;Shell
jondeandres;Barcelona;Barcelona;28;466;16;229;Ruby
fserena;Spain;España;4;466;3;10;CSS
mcjimenez;Madrid;Madrid;1;465;0;0;JavaScript
vterron;Granada, Spain;Granada;88;464;71;47;Python
LuisJoseSanchez;Málaga (Spain);Málaga;47;464;9;14;CSS
raulperula;Spain;España;5;463;0;11;C++
emijrp;Spain;España;23;463;472;162;Python
CKGrafico;Barcelona;Barcelona;84;462;156;110;JavaScript
tamarart;Barcelona;Barcelona;5;462;0;0;HTML
alcortesm;Madrid, Spain;Madrid;0;461;2;0;Shell
fpuga;Vigo. Spain;Pontevedra;9;461;4;14;Python
slluis;Barcelona, Spain;Barcelona;53;460;40;26;C#
pebs74;Madrid, Spain;Madrid;2;460;0;1;
Moliholy;Jaén, Spain;Jaén;4;459;4;15;Java
piedraj;Santander;Cantabria;4;459;2;0;C++
Reimashi;Ourense, Spain;Orense;3;458;0;1;C#
josemifv;Spain;España;4;457;4;11;CSS
germaaan;Granada / Almería (Andalucía), Spain;Almería;28;457;6;34;CSS
decabeza;Madrid;Madrid;14;456;1;41;Ruby
ailopera;España;España;6;454;2;22;JavaScript
csierra;Madrid, Spain;Madrid;10;454;3;3;Java
pbaeyens;Granada, Spain;Granada;22;453;3;32;Haskell
slok;Madrid;Madrid;60;453;186;626;Python
fergunet;Granada;Granada;53;452;12;9;Java
