login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
lipido;Spain;10;41;14;2;0
speier;Marbella, Spain;8;40;33;1;0
jaraen;Madrid (Spain);82;40;332;3;0
meerita;Barcelona, Spain;8;40;135;4;0
pablopr;Madrid, Spain;10;40;6;4;0
frandieguez;Spain;26;39;52;4;0
olivermontes;Spain / Alicante;24;39;5;3;0
hithwen;Spain;7;39;2;3;0
imobach;Las Palmas de Gran Canaria (Canarias, Spain);9;39;1;3;0
alvarobp;Valencia, Spain;35;39;54;2;0
jsoriano;Madrid, Spain;19;39;21;4;0
diacritica;Madrid, Spain;25;39;6;3;0
oskarizu;Barcelona, Spain;9;39;0;2;0
marcan;Castro Urdiales, Spain;133;39;59;4;0
seymourpoler;Madrid, Spain;7;38;2;2;0
victoriano;Granada, Spain;32;38;15;10;0
Cadiducho;Spain;14;38;4;3;0
demil133;Gijón, Spain;10;38;3;3;0
oslugr;Granada, SPAIN;43;38;49;2;0
jmanuelrosa;Madrid, Spain;11;37;0;2;0
antoniolg;Madrid (Spain);253;37;1484;3;0
mgallego;Getafe - Madrid - Spain;21;37;32;2;0
jjmontesl;Spain;15;37;148;4;0
xoan;A Coruña, Spain;27;37;38;2;0
miguelmaquieira;Spain;17;36;0;3;0
nidebo;Valencia, Spain;8;36;4;2;0
jsierles;Sevilla, Spain;112;36;297;3;0
nleite;Barcelona, Spain;7;36;5;2;0
pantulis;Madrid, Spain;57;36;58;2;0
alfonsojimenez;Barcelona, Spain;28;36;17;2;0
tcz;Barcelona, Spain;29;35;156;2;0
diegok;Barcelona, Spain;49;35;124;3;0
chernando;Madrid, Spain;16;35;1;1;0
shawe;Spain;9;34;15;2;0
erik-landvall;Barcelona, Spain;12;34;32;1;0
alberh;España;8;34;2;10;0
AlbertoBasalo;Spain;16;34;2;2;0
jordimarinvalle;Barcelona, Spain;9;34;6;8;8
ildemartinez;Spain;9;33;0;2;0
drodri;Madrid, Spain;13;33;14;4;0
marciobarrios;Barcelona, Spain;21;33;29;3;0
migmartri;Sevilla Spain;18;32;16;3;0
asis;A Coruña, Spain;11;32;11;2;0
uno-de-piera;Spain;36;32;45;2;0
albertvaka;Barcelona, Spain;18;32;2;3;0
juanriaza;Spain;85;32;219;3;0
damagedgoods;Madrid, Spain;12;31;6;3;0
calas;Madrid, Spain;15;31;113;2;0
alvaromurillo;Seville, Spain;10;31;2;2;0
