login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
DavidGSola;Granada, Spain;4;191;0;6;0
pablogsal;Granada, Spain;10;188;4;5;0
ranea;Granada, Spain;12;180;3;3;2
neon520;Granada;7;180;0;4;0
damarro;Granada;2;180;0;12;0
hugobarzano;Granada;3;174;0;5;0
alexislucena;Granada, Spain;2;173;0;5;0
fnavarrogonzalez;Granada, España.;11;173;1;6;2
luqueburgosjm;Granada;3;172;0;6;0
AntonioPozo;Granada;2;170;0;4;0
MarFerPra;Granada;7;169;2;4;2
ramako;Granada;2;168;3;8;0
juanfranrv;Granada (Spain);5;167;1;6;0
rogegg;Granada, Andalucía, España;14;166;8;5;0
mariohm;Granada;9;165;1;4;0
acharluk;Jaén, Granada, Andalucía, Spain;13;163;0;16;0
jorgeles;Granada;2;162;2;6;0
guillermochica;Granada, de Jaén;4;160;2;8;0
oxcar103;Granada, Spain;26;155;1;6;0
devnatres;Granada (Spain);0;155;0;9;0
miguelangelrdguez;Granada;1;154;0;3;0
cesar2;Granada;0;154;0;4;0
josemam;Los Villares (Jaén) ⇆ Granada;6;149;1;6;0
amorag;Granada, Spain;4;148;0;5;2
lorenmanu;Granada;1;147;0;3;0
acasadoquijada;Granada, Spain;12;144;8;3;0
Rubenmp;Granada;1;144;0;6;0
gabriel-stan;Granada;1;143;0;9;0
davidvweb;Granada, Spain;1;143;0;5;0
segura2010;Granada;3;142;7;5;4
sergiogvz;Granada, Spain;3;141;0;3;0
albertoqa;Granada, Spain;3;140;1;6;0
toblerone554;Granada,Spain;7;138;2;5;0
sn1k;Granada;2;135;0;3;0
deantares;Granada (Spain);22;133;10;5;0
araluce;Granada;3;132;0;4;0
jmorenov;Granada, Spain;0;129;0;4;0
capynet;Spain - Granada;9;129;15;4;0
divadcr;Granada;7;129;1;5;0
santiagopuerta;Granada, Spain;7;126;6;8;0
pedritomelenas;Granada;5;125;5;12;0
migueib17;Granada;2;124;0;3;0
Jarotru;Granada;1;124;0;3;0
alvaromm;Granada, Spain;5;124;0;10;0
msmaldonado;Granada;7;122;1;3;0
pmarinr;Granada, Spain;15;122;12;4;0
NCordon;Granada, Spain;30;120;11;4;0
silt99;Granada;0;118;0;3;0
davidperezgar;Granada, Spain;2;118;1;5;0
franlu;Granada, Spain;13;118;1;8;0
JMailloH;Granada - Spain;7;117;0;4;0
alfonsito92;Granada;3;116;0;5;0
ciherraiz;Granada Spain;0;113;0;5;0
JesGor;Granada, Spain;4;108;1;4;0
FranFT;Granada, Spain;1;108;1;6;0
terceranexus6;Granada;12;108;10;2;0
ramon-rd;Granada;2;105;3;4;0
sramirez;Granada;10;105;23;4;0
cjferba;Granada;4;103;2;5;0
mabarrbai;Granada, Spain;0;103;0;4;0
pmmre;Granada;0;103;0;3;0
aserranogomez;GRANADA;0;101;0;3;0
erseco;Granada, Spain;50;101;8;4;0
albertomoreno;Granada, Spain;3;101;3;4;0
JCEntrena;Granada;12;101;4;7;0
PabloTorrecillas;Granada, Spain;2;98;0;7;0
dlazaro66;Granada;32;97;626;5;0
mgmacias95;Granada, Spain;23;93;17;2;0
Crixo24;Granada;4;93;0;3;0
yonatan24891;Granada, Spain;0;92;1;4;0
Alayala;Granada, España;3;90;0;2;0
IsabelTenar;Granada, España;7;89;2;2;0
miguelRCabello;Granada, Spain;2;88;0;6;0
javiexfiliana7;Granada;0;87;0;4;0
edupg1;Granada (Spain);3;87;0;3;0
TommyHernandez;Granada;8;87;1;4;0
jesmorc;Granada;1;87;0;5;0
AngelValera;Granada;0;84;0;3;2
PSanchezR;Granada, España.;1;84;3;3;0
VictorCoronas;Granada, Spain;3;82;0;3;0
javiergama8;Baza, Granada;0;81;1;7;0
MGautier;Granada, Spain;2;81;1;5;0
jfrancisco4490;Granada, España;1;80;0;2;0
cparadela;Granada;0;80;0;2;0
manumorante;Granada <> Gibraltar;17;80;2;2;0
manolotello7;Pinos del Valle;0;79;0;2;0
pedrogazquez;Granada;0;78;0;4;0
koji3;Graná, Spain;4;78;2;3;0
MarcosJF;Granada (España);0;78;0;3;0
Cs4r;Granada, Spain;6;77;0;3;0
gstvrmrlpz;Granada;2;77;0;3;0
azpe;Granada Spain;0;76;0;4;0
ainokila;Granada-Spain;5;73;6;4;0
molocohb;Granada, Spain;4;72;0;2;0
alebupal;Granada;0;72;0;4;0
JaviRubio;Granada;2;72;3;4;0
Ariacus;Granada, Spain.;6;72;0;3;0
rubenlagus;Granada;12;71;46;3;0
LuisGonzalez2014;Granada;1;70;0;4;0
JacintoCC;Granada;17;70;6;3;0
JuanfranRobles;Granada (España);1;68;1;3;0
dvcarrillo;Granada, Spain;3;67;0;5;0
drkameleon;Granada, España;10;67;37;4;0
pacocp;Granada;3;67;0;4;0
lumley;Granada;4;67;3;25;0
MercAddons;Granada;12;65;2;6;0
albertogarf91;Granada;1;65;0;5;0
reyic;GRANADA;2;64;0;3;0
jgallegoweb;Granada;5;64;0;4;0
josearcosaneas;Granada;0;64;0;4;0
jjsalinas;Granada, Spain;3;64;0;3;0
Georgevik;Granada;1;63;0;2;0
malfario;Granada;3;62;13;3;0
rlopc;Granada;4;62;0;3;0
mpvillafranca;Granada;8;62;0;3;0
Griger;Granada;8;62;0;4;0
Rauleinstein;Granada;2;59;0;3;0
marcnava13;Granada, España;2;59;0;3;0
adalsa91;Granada;0;59;0;4;0
amolinasalazar;Granada, Spain;3;59;1;4;0
Adrirc8;Granada, Spain;2;59;1;2;0
makixun;Granada, Spain;11;58;0;2;0
louri91;Granada;3;58;0;4;0
Samuc;Granada;1;58;0;2;0
